Date,Driver,Vehicle,Careem,Uber,Bolt,Yango,Cash,Total,Fuel,Salik,Washing,Notes
2026-01-01,Zeeshan Ahmed,D586986,926.68,590.51,377.83,55.94,575.12,2526.08,89.26,2.09,15.22,Week 1 January
2026-01-01,Omar Khalid,K19024,726.25,760.19,174.45,59.96,497.16,2218.01,126.15,4.46,6.7,Week 1 January
2026-01-01,Sara Malik,M72810,1139.2,1068.63,351.99,127.27,883.38,3570.47,63.73,30.9,8.69,Week 1 January
2026-01-01,Nadia Ali,A45127,800.98,570.68,257.97,219.55,326.51,2175.69,106.53,23.0,11.17,Week 1 January
2026-01-02,Zeeshan Ahmed,D586986,1354.28,672.09,170.86,85.31,676.28,2958.82,94.21,11.31,,
2026-01-02,Omar Khalid,K19024,1387.36,964.89,254.92,214.76,689.3,3511.23,79.53,20.68,,
2026-01-02,Sara Malik,M72810,1334.55,1281.35,405.31,103.35,886.12,4010.68,69.45,15.05,,
2026-01-02,Nadia Ali,A45127,1537.5,738.99,321.14,48.63,667.75,3314.01,121.17,20.63,,
2026-01-03,Zeeshan Ahmed,D586986,1641.04,860.31,393.35,170.76,605.93,3671.39,96.5,30.24,,
2026-01-03,Omar Khalid,K19024,1701.6,980.58,382.45,53.35,691.04,3809.02,111.77,35.75,,
2026-01-03,Sara Malik,M72810,1594.19,838.45,285.03,187.1,215.79,3120.56,96.94,6.05,,
2026-01-03,Nadia Ali,A45127,977.46,669.21,418.88,68.45,373.33,2507.33,91.28,31.37,,
2026-01-04,Zeeshan Ahmed,D586986,756.41,769.51,342.3,234.34,773.5,2876.06,129.12,10.02,12.46,
2026-01-04,Omar Khalid,K19024,951.14,1030.52,485.21,73.2,323.35,2863.42,78.56,8.4,14.55,
2026-01-04,Sara Malik,M72810,1112.39,657.65,151.43,132.17,458.48,2512.12,105.31,34.31,20.71,
2026-01-04,Nadia Ali,A45127,1060.84,870.56,386.67,51.88,829.67,3199.62,122.4,31.48,23.94,
2026-01-05,Zeeshan Ahmed,D586986,974.67,739.39,186.24,179.54,243.57,2323.41,65.39,7.52,,
2026-01-05,Omar Khalid,K19024,813.61,704.03,168.4,40.05,305.89,2031.98,68.12,13.09,,
2026-01-05,Sara Malik,M72810,717.85,1024.6,364.92,72.68,376.58,2556.63,87.79,13.11,,
2026-01-05,Nadia Ali,A45127,785.99,1009.36,497.59,142.52,538.68,2974.14,66.87,3.68,,
2026-01-06,Zeeshan Ahmed,D586986,939.85,658.85,440.1,75.52,216.17,2330.49,136.08,19.02,,
2026-01-06,Omar Khalid,K19024,802.62,825.9,159.46,156.18,884.95,2829.11,129.07,25.06,,
2026-01-06,Sara Malik,M72810,882.78,720.02,208.46,209.83,572.81,2593.9,122.32,11.87,,
2026-01-06,Nadia Ali,A45127,856.13,986.91,494.72,227.58,764.26,3329.6,125.47,26.64,,
2026-01-07,Zeeshan Ahmed,D586986,858.72,810.58,274.45,46.38,219.56,2209.69,82.35,9.33,20.78,
2026-01-07,Omar Khalid,K19024,1369.56,768.34,477.96,257.37,868.5,3741.73,89.17,7.94,6.81,
2026-01-07,Sara Malik,M72810,837.69,622.62,368.42,238.07,788.3,2855.1,98.36,23.51,23.99,
2026-01-07,Nadia Ali,A45127,759.34,896.35,468.42,212.11,725.1,3061.32,98.24,6.43,23.67,
