FleetPulse — Daily Collection Sheet
Branch: Dubai Marina,,Prepared by: Ops

Date,Driver,Vehicle,Careem,Uber,Bolt,Yango,Cash,Total,Fuel,Salik,Washing,Notes,Shift supervisor
2026-01-12,Zeeshan Ahmed,D586986,980.0,720.5,310.0,95.0,450.0,2555.5,110.0,24.0,,,Ali
13/01/2026,Omar Khalid,K19024,860.25,640.0,280.4,60.0,520.0,2360.65,98.5,18.0,25.0,,Ali
14-Jan-2026,Sara Malik,M72810,1120.0,880.0,190.0,130.0,300.0,2620.0,132.0,30.0,,,Rashid
15 Jan 2026,Nadia Ali,A45127,740.0,590.0,240.0,80.0,610.0,2260.0,88.0,12.0,,,Rashid
2026-01-16,Zeeshan Ahmed,D586986,"AED 1,240.00",AED 905.50,AED 310.00,AED 75.00,AED 480.00,"AED 3,010.50",AED 125.00,AED 24.00,,,Ali
2026-01-17,Omar Khalid,K19024,900.0,700.0,250.0,50.0,400.0,9999.99,105.0,18.0,,totals column is wrong on purpose,Ali
2026-01-18,Sara Malik,M72810,1050.0,-,n/a,110.0,nil,1160.0,-,,,quiet day,Rashid
2026-01-19,Nadia Ali,A45127,820.0,six hundred,200.0,70.0,390.0,2080.0,92.0,15.0,,,Rashid
2026-01-20,Zeeshan Ahmed,D586986,990.0,-250.0,300.0,80.0,410.0,1530.0,115.0,22.0,,refund posted as negative,Ali
last Tuesday,Omar Khalid,K19024,880.0,690.0,270.0,65.0,430.0,2335.0,100.0,20.0,,,Ali
2026-01-21,Bilal Hussain,K19024,760.0,600.0,220.0,55.0,380.0,2015.0,95.0,16.0,,"new joiner, not created yet",Ali
2026-01-22,Sara Malik,XX99999,1010.0,790.0,260.0,90.0,350.0,2500.0,120.0,26.0,,wrong plate typed,Rashid
2026-01-23,Nadia Ali,A45127,700.0,560.0,230.0,60.0,520.0,2070.0,86.0,14.0,,first entry,Rashid
2026-01-23,Nadia Ali,A45127,150.0,120.0,0,0,90.0,360.0,,,,"late top-up, same day",Rashid
2026-01-24,Omar Khalid,K19024,,,,,,,,,,vehicle off road,Ali
2025-12-15,Zeeshan Ahmed,D586986,1150.0,880.0,300.0,100.0,500.0,2930.0,130.0,28.0,,restated December figure,Ali
